id,descripcion,descripcion_equivalente,cbarras,cbarras_equivalente,cantidad_equivalente
109,AMIKACINA AMSA CAJA CON 2 FRASCOS AMPULA 2 ML 500 MG,AMIKACINA ELITE 500MG C/1 AMP,7501349021488,7502247372801,1
110,AMIKACINA AMSA CAJA CON 2 FRASCOS AMPULA 2 ML 500 MG,G AMIKACINA 500MG/2ML INY 1AMP,7501349021488,7501349021440,1
111,MODURETIC CAJA CON 30 TABLETAS 5/50 MG,MODURETIC CAJA CON 30 TABLETAS 5/50 MG,7501326000314,7501326000314,1
112,FLUMIL CAJA CON 20 CAPSULAS 40/1.5 /1.5 MG,FLUMIL CAJA CON 20 CAPSULAS 40/1.5 /1.5 MG,7501314702657,7501314702657,1
113,FLUMIL FRASCO SOLUCION 25 ML  2 G / 75 / 75 MG / 100 ML,FLUMIL FRASCO SOLUCION 25 ML  2 G / 75 / 75 MG / 100 ML,7501314702640,7501314702640,1
114,TECNOVID CAJA CON 20 TABLETAS 200 MG,TECNOVID CAJA CON 20 TABLETAS 200 MG,7501471886863,7501471886863,1
115,TECNOVID CAJA CON 20 TABLETAS 200 MG,DARFIN CAJA CON 20 TABLETAS 200 MG,7501471886863,7501504020851,1
116,TECNOVID CAJA CON 20 TABLETAS 200 MG,CORDARONE 200MG TAB C20,7501471886863,7501328977980,1
117,ANAPSIQUE CAJA CON 50 TABLETAS 25 MG,ANAPSIQUE CAJA CON 50 TABLETAS 25 MG,7501384503123,7501384503123,1
118,ANAPSIQUE CAJA CON 50 TABLETAS 25 MG,TRYPTANOL CAJA CON 50 COMPRIMIDOS 25 MG,7501384503123,7501326003933,1
119,NABLODY CAJA CON 30 TABLETAS 5 MG,NABLODY CAJA CON 30 TABLETAS 5 MG,7502223555372,7502223555372,1
120,NABLODY CAJA CON 30 TABLETAS 5 MG,AMLODIPINO ULTRA CAJA CON 30 TABLETAS 5 MG,7502223555372,7502216793675,1
121,NABLODY CAJA CON 30 TABLETAS 5 MG,AMLODIPINO ELI 5MG TAB C30,7502223555372,7502247371415,1
122,NABLODY CAJA CON 30 TABLETAS 5 MG,PRESLOPIN 5.0 mg C/30 TAB. (amlodipino),7502223555372,7502227872697,1
123,NABLODY CAJA CON 30 TABLETAS 5 MG,AMLODIPINO 5 MG TAB 30         LGEN,7502223555372,7501493866850,1
124,EXFORGE CAJA CON 28 COMPRIMIDOS 5MG/160MG,EXFORGE CAJA CON 28 COMPRIMIDOS 5MG/160MG,7501094916671,7501094916671,1
125,EXFORGE HCT CAJA 28 COMPRIMIDOS 5MG / 160MG / 12.5MG,EXFORGE HCT CAJA 28 COMPRIMIDOS 5MG / 160MG / 12.5MG,7501124815851,7501124815851,1
126,AMOXICILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,AMOXICILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,7501385490521,7501385490521,1
127,AMOXICILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,AMOXICILINA 500MG C/12 CAPS,7501385490521,7501349021068,1
128,AMOXICILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,G AMOXICILINA 500MG CAP C12,7501385490521,7501349021570,1
129,AMOXICILINA HORMONA FRASCO SUSPENSION 75 ML 250 MG,AMOXICILINA HORMONA FRASCO SUSPENSION 75 ML 250 MG,7501385491436,7501385491436,1
130,AMOXICILINA HORMONA FRASCO SUSPENSION 75 ML 250 MG,AMOXICILINA 250MG/5ML SUSP 75ML,7501385491436,7501277072460,1
131,AMOXICILINA HORMONA FRASCO SUSPENSION 75 ML 500 MG,AMOXICILINA HORMONA FRASCO SUSPENSION 75 ML 500 MG,7501385491443,7501385491443,1
132,AMOXICILINA HORMONA FRASCO SUSPENSION 75 ML 500 MG,AMOXICILINA SUSP 500 MG/5 ML,7501385491443,7501349021846,1
133,AMOXICILINA HORMONA FRASCO SUSPENSION 75 ML 500 MG,VANDIX SUSP 500MG 75ML (Amoxicilina),7501385491443,7503001007076,1
134,BROMIXEN CAJA CON 12 CAPSULAS 500/8MG,BROMIXEN CAJA CON 12 CAPSULAS 500/8MG,7503000422887,7503000422887,1
135,BROMIXEN CAJA CON 12 CAPSULAS 500/8MG,PENAMOX M CAJA CON 12 CAPSULAS 500/8MG,7503000422887,7501070635350,1
136,BROMIXEN CAJA CON 12 CAPSULAS 500/8MG,MUCOXINA CAPS 500-8MG C/12 (Amoxi/bromhe,7503000422887,7502208892744,1
137,BROMIXEN CAJA CON 12 CAPSULAS 500/8MG,AMOXIBRON 500MG CAP C12,7503000422887,7501070622152,1
138,PENAMOX M FRASCO SUSPENSION 75 ML 250/8MG/5ML,PENAMOX M FRASCO SUSPENSION 75 ML 250/8MG/5ML,7501070635411,7501070635411,1
139,PENAMOX M FRASCO SUSPENSION 75 ML 250/8MG/5ML,BROMIXEN FRASCO SUSPENSION 90 ML 250/4MG/5ML,7501070635411,7503000422894,1
140,PENAMOX M FRASCO SUSPENSION 75 ML 250/8MG/5ML,PENAMOX M 500MG SUSP 75ML,7501070635411,7501070635435,1
141,CLAMOXIN FRASCO SUSPENSION 60 ML 125 MG/31.25 MG,CLAMOXIN FRASCO SUSPENSION 60 ML 125 MG/31.25 MG,7502009740206,7502009740206,1
142,CLAMOXIN FRASCO SUSPENSION 60 ML 125 MG/31.25 MG,VALCLAN 125/31.25 60ML(amoxi+ac. clavula,7502009740206,7503001007236,1
143,GIMACLAV FRASCO 15 TABLETAS 500/125 MG,GIMACLAV FRASCO 15 TABLETAS 500/125 MG,780083144319,780083144319,1
144,GIMACLAV FRASCO 15 TABLETAS 500/125 MG,CLAMOXIN 500/12.5MG C/10,780083144319,7502009740992,0.5
145,GIMACLAV FRASCO 15 TABLETAS 500/125 MG,CLAVIPEN T 15 500/125MG,780083144319,7502208892553,1
146,CLAMOXIN 12H FRASCO SUSPENSION 50 ML  400/57 MG /5ML,CLAMOXIN 12H FRASCO SUSPENSION 50 ML  400/57 MG /5ML,7502009740503,7502009740503,1
147,CLAMOXIN 12H FRASCO SUSPENSION 50 ML  400/57 MG /5ML,AMOX/ACIDO 400/57MG SUSP 50ML,7502009740503,7501258204750,1
148,CLAMOXIN 12H FRASCO SUSPENSION 50 ML  400/57 MG /5ML,CLAVULIN 12H 400MG SUSP 50ML,7502009740503,7501070612832,1
149,AMOXICILINA/CLAVULANATO ACIDO FRASCO SUSPENSION 75 ML 250/62.5 MG SERRAL,AMOXICILINA/CLAVULANATO ACIDO FRASCO SUSPENSION 75 ML 250/62.5 MG SERRAL,7501258204484,7501258204484,1
150,AMOXICILINA/CLAVULANATO ACIDO FRASCO SUSPENSION 75 ML 250/62.5 MG SERRAL,CLAMOXIN SUSP.250 MG.60 ML (AMOXI-CLAVUL,7501258204484,7502009740213,1
151,AMOXICILINA/CLAVULANATO ACIDO FRASCO SUSPENSION 75 ML 250/62.5 MG SERRAL,AMOXICLAV 250MG SUSP 75ML,7501258204484,7501125109485,1
152,AMPICILINA AMSA FRASCO AMPULA 1GR,AMPICILINA AMSA FRASCO AMPULA 1GR,7501349021037,7501349021037,1
153,AMPICILINA AMSA FRASCO AMPULA 1GR,PENTREXYL 1G INY F A 3ML C1,7501349021037,7501041941039,1
154,AMPICILINA AMSA FRASCO AMPULA 1GR,AMPICILINA FRASCO AMPULA 1GR,7501349021037,7501349022874,1
155,AMPICILINA AMSA FRASCO AMPULA 500 MG,AMPICILINA AMSA FRASCO AMPULA 500 MG,7501349021051,7501349021051,1
156,AMPICILINA AMSA FRASCO AMPULA 500 MG,PENTREXYL 500MG INY F A 2ML C1,7501349021051,7501041941053,1
157,AMPICILINA AMSA FRASCO AMPULA 500 MG,AMSAPEN 500MG /2ML,7501349021051,7501349011052,1
158,ZUMORIN CAJA CON 12 TABLETAS 1 G,ZUMORIN CAJA CON 12 TABLETAS 1 G,7502001163799,7502001163799,1
159,ZUMORIN CAJA CON 12 TABLETAS 1 G,PENTIVER TAB 1.0G C/8 (Ampicilina),7502001163799,7503000422672,0.5
160,ZUMORIN CAJA CON 12 TABLETAS 1 G,ZUMORIN CAJA CON 12 TAB 1 G,7502001163799,7503001008219,1
161,ZUMORIN CAJA CON 12 TABLETAS 1 G,AMPICILINA 1GR C/10,7502001163799,7501349022027,1
162,PENTIVER FRASCO SUSPENSION 90 ML 250 MG,PENTIVER FRASCO SUSPENSION 90 ML 250 MG,7503000422719,7503000422719,1
163,PENTIVER FRASCO SUSPENSION 90 ML 250 MG,EXPICIN FRASCO SUSPENSION 90 ML 250 MG,7503000422719,7501001161191,1
164,PENTIVER FRASCO SUSPENSION 90 ML 250 MG,BRUPEN SUSP 250MG 90ML (Ampicilina),7503000422719,7502208891617,1
165,PENTIVER FRASCO SUSPENSION 90 ML 250 MG,EXPICIN FRASCO SUSP 90 ML 250 MG,7503000422719,7502001161191,1
166,MAGEMIV CAJA CON 28 TABLETAS 1 MG,MAGEMIV CAJA CON 28 TABLETAS 1 MG,7502223555020,7502223555020,1
167,MAGEMIV CAJA CON 28 TABLETAS 1 MG,ARIMIDEX CAJA CON 28 TABLETAS 1 MG,7502223555020,7501324403711,1
168,WELLBUTRIN CAJA CON 15 TABLETAS 150 MG,WELLBUTRIN CAJA CON 15 TABLETAS 150 MG,7501043162760,7501043162760,1
169,WELLBUTRIN CAJA CON 15 TABLETAS 150 MG,WELLBUTRIN 150MG TAB C30,7501043162760,7501043162777,2
170,EMEND CAJA 1 CAPSULA 125 MG Y 2 CAPSULAS DE 80 MG,EMEND CAJA 1 CAPSULA 125 MG Y 2 CAPSULAS DE 80 MG,7501326000215,7501326000215,1
171,RIPIZOLNEV CAJA CON 20 TABLETAS 15 MG,RIPIZOLNEV CAJA CON 20 TABLETAS 15 MG,7502223556157,7502223556157,1
172,RIPIZOLNEV CAJA CON 20 TABLETAS 15 MG,ABILIFY CAJA CON 20 TABLETAS 15 MG,7502223556157,7501095402180,1
173,RIPIZOLNEV CAJA CON 20 TABLETAS 15 MG,MOTRUXIA 15MG|TAB|20,7502223556157,7501125153860,1
174,RIPIZOLNEV CAJA CON 20 TABLETAS 15 MG,ANTREDAM N 15MG TAB 10,7502223556157,7501384505097,0.5
175,RIPIZOLNEV CAJA CON 20 TABLETAS 15 MG,ANTREDAMIN 15 MG TAB 30,7502223556157,7501384505103,1
176,OXITAL-C CAJA CON 10 COMPRIMIDOS EFERVESCENTE 2 GR,OXITAL-C CAJA CON 10 COMPRIMIDOS EFERVESCENTE 2 GR,7501258207010,7501258207010,1
177,OXITAL-C CAJA CON 10 COMPRIMIDOS EFERVESCENTE 2 GR,ADRIPHEL  CAJA CON 10 COMPRIMIDOS EFERVESCENTE 2 GR,7501258207010,7502215787613,1
178,OXITAL-C CAJA CON 10 COMPRIMIDOS EFERVESCENTE 2 GR,REDOXON FTE 2G CPR EFER C10,7501258207010,7501008409503,1
179,CARTENOL CAJA CON 30 TABLETAS 50 MG,CARTENOL CAJA CON 30 TABLETAS 50 MG,7501109763948,7501109763948,1
180,CARTENOL CAJA CON 30 TABLETAS 50 MG,BIOFILEN CAJA CON 28 TABLETAS 50 MG,7501109763948,7501825301721,1
